Cluster_Agglo,Species_List,Centroid_Latitude,Centroid_Longitude,Radius_Km,City_State,Habitat,Richness
0,"Puma concolor, Odocoileus hemionus, Tamiasciurus douglasii, Mustela frenata, Glaucomys sabrinus, Procyon lotor, Didelphis virginiana, Ursus americanus, Mustela erminea, Lepus americanus, Lynx rufus, Cervus canadensis, Canis latrans, Sylvilagus floridanus, Canis familiaris, Odocoileus virginianus",47.87268113574918,-122.94104,50,Clallam County - Washington,forest,16
1,"Sciurus carolinensis, Procyon lotor, Felis catus, Canis latrans, Odocoileus virginianus, Canis familiaris, Sylvilagus floridanus, Tamias striatus, Didelphis virginiana, Rattus norvegicus, Mephitis mephitis, Glaucomys volans, Vulpes vulpes, Marmota monax",40.79440449695679,-73.8114741976744,50,New York - New York,"anthropogenic, forest, shrubland",14
2,"Vulpes vulpes, Sciurus carolinensis, Odocoileus virginianus, Procyon lotor, Sylvilagus floridanus, Didelphis virginiana, Mephitis mephitis, Marmota monax, Sciurus niger, Neovison vison, Tamias striatus, Canis familiaris, Lontra canadensis, Canis latrans, Glaucomys volans, Tamiasciurus hudsonicus, Felis catus, Castor canadensis, Pekania pennanti, Peromyscus leucopus, Mustela frenata",39.73539262196192,-75.61988947288141,50,Wilmington - Delaware,"forest, wetland",21
3,"Odocoileus virginianus, Procyon lotor, Canis latrans, Sciurus niger, Sylvilagus floridanus, Didelphis virginiana, Mephitis mephitis, Lynx rufus, Canis familiaris, Sciurus carolinensis, Vulpes vulpes",40.7561795194991,-96.76898048484848,50,Lincoln - Nebraska,grassland,11
4,"Canis familiaris, Odocoileus virginianus, Canis latrans, Sciurus carolinensis, Urocyon cinereoargenteus, Lynx rufus, Vulpes vulpes, Procyon lotor, Didelphis virginiana, Bos taurus, Sylvilagus floridanus",36.05310610732717,-79.37719193548389,50,Alamance County - North Carolina,forest,11
5,"Odocoileus virginianus, Didelphis virginiana, Canis latrans, Sciurus carolinensis, Canis familiaris, Procyon lotor, Sylvilagus floridanus, Urocyon cinereoargenteus, Equus caballus, Lontra canadensis, Mephitis mephitis, Lynx rufus, Felis catus, Glaucomys sabrinus, Vulpes vulpes, Ursus americanus, Glaucomys volans",35.928847829203,-78.7751340918587,50,Durham County - North Carolina,forest,17
6,"Odocoileus virginianus, Sciurus carolinensis, Procyon lotor, Didelphis virginiana, Canis latrans, Lynx rufus, Vulpes vulpes, Felis catus, Dasypus novemcinctus, Sylvilagus floridanus, Sciurus niger, Urocyon cinereoargenteus, Sciurus griseus, Castor canadensis, Lontra canadensis, Mephitis mephitis, Canis familiaris, Glaucomys volans, Neovison vison, Mustela frenata",36.85330800550116,-88.64678899999997,50,Graves County - Kentucky,forest,20
7,"Sciurus carolinensis, Odocoileus virginianus, Canis latrans, Procyon lotor, Sylvilagus floridanus, Equus caballus, Canis familiaris, Felis catus, Didelphis virginiana, Urocyon cinereoargenteus, Vulpes vulpes",35.241751929890334,-79.46712656249997,50,Moore County - North Carolina,forest,11
8,"Canis familiaris, Canis latrans, Procyon lotor, Lynx rufus, Peromyscus leucopus, Sciurus carolinensis, Ursus americanus, Odocoileus virginianus, Sylvilagus floridanus, Vulpes vulpes, Tamias striatus, Mustela frenata, Sciurus niger, Didelphis virginiana, Urocyon cinereoargenteus, Mephitis mephitis, Felis catus, Tamiasciurus hudsonicus, Spilogale putorius, Canis rufus, Sylvilagus obscurus, Glaucomys sabrinus",36.12926374145898,-81.85209175757575,50,Watauga County - North Carolina,forest,22
9,"Sciurus carolinensis, Odocoileus virginianus, Sylvilagus floridanus, Ursus americanus, Didelphis virginiana, Sciurus niger, Procyon lotor, Vulpes vulpes, Tamias striatus, Neovison vison, Canis latrans, Lynx rufus, Mephitis mephitis, Glaucomys volans, Canis familiaris, Felis catus, Castor canadensis, Equus caballus, Peromyscus leucopus, Spilogale putorius",38.83967741457332,-78.10686120136987,50,Fauquier County - Virginia,forest,20
