Cluster_Agglo,Year,Species_List,Centroid_Latitude,Centroid_Longitude,Radius_Km,City_State,Habitat,Richness
0,2020,"Puma concolor, Odocoileus hemionus, Tamiasciurus douglasii, Mustela frenata, Glaucomys sabrinus, Procyon lotor, Didelphis virginiana, Ursus americanus, Mustela erminea, Lepus americanus, Lynx rufus",47.87268113574918,-122.94104,50,Clallam County - Washington,forest,11
0,2022,"Ursus americanus, Odocoileus hemionus, Tamiasciurus douglasii, Glaucomys sabrinus, Puma concolor, Cervus canadensis, Lynx rufus, Canis latrans, Sylvilagus floridanus, Procyon lotor, Didelphis virginiana, Canis familiaris, Mustela frenata",47.87268113574918,-122.94104,50,Clallam County - Washington,forest,13
0,2023,"Odocoileus virginianus, Ursus americanus, Odocoileus hemionus, Canis familiaris, Lepus americanus, Glaucomys sabrinus, Tamiasciurus douglasii, Puma concolor",47.87268113574918,-122.94104,50,Clallam County - Washington,forest,8
1,2020,"Sciurus carolinensis, Procyon lotor, Felis catus, Canis latrans, Odocoileus virginianus, Canis familiaris, Sylvilagus floridanus, Tamias striatus, Didelphis virginiana, Rattus norvegicus, Mephitis mephitis, Glaucomys volans",40.79440449695679,-73.8114741976744,50,New York - New York,anthropogenic,12
1,2021,"Felis catus, Canis familiaris, Sylvilagus floridanus, Sciurus carolinensis, Procyon lotor, Vulpes vulpes, Didelphis virginiana, Canis latrans, Marmota monax, Tamias striatus, Mephitis mephitis, Odocoileus virginianus",40.79440449695679,-73.8114741976744,50,New York - New York,anthropogenic,12
1,2022,"Canis latrans, Felis catus, Tamias striatus, Sylvilagus floridanus, Sciurus carolinensis, Procyon lotor, Mephitis mephitis, Didelphis virginiana, Vulpes vulpes, Odocoileus virginianus, Canis familiaris, Marmota monax, Rattus norvegicus",40.79440449695679,-73.8114741976744,50,New York - New York,anthropogenic,13
1,2023,"Odocoileus virginianus, Sciurus carolinensis, Felis catus, Procyon lotor, Canis latrans, Sylvilagus floridanus, Rattus norvegicus, Didelphis virginiana, Mephitis mephitis, Vulpes vulpes, Canis familiaris, Tamias striatus, Marmota monax",40.79440449695679,-73.8114741976744,50,New York - New York,"forest, shrubland",13
2,2019,"Vulpes vulpes, Sciurus carolinensis, Odocoileus virginianus, Procyon lotor, Sylvilagus floridanus, Didelphis virginiana, Mephitis mephitis, Marmota monax, Sciurus niger, Neovison vison, Tamias striatus, Canis familiaris, Lontra canadensis, Canis latrans, Glaucomys volans, Tamiasciurus hudsonicus, Felis catus, Castor canadensis, Pekania pennanti",39.73539262196192,-75.61988947288141,50,Wilmington - Delaware,"forest, wetland",19
2,2020,"Procyon lotor, Peromyscus leucopus, Sciurus carolinensis, Marmota monax, Didelphis virginiana, Vulpes vulpes, Odocoileus virginianus, Sylvilagus floridanus, Felis catus, Neovison vison, Castor canadensis, Canis latrans, Tamias striatus, Glaucomys volans, Mustela frenata, Canis familiaris",39.73539262196192,-75.61988947288141,50,Wilmington - Delaware,forest,16
2,2021,"Castor canadensis, Neovison vison, Sciurus carolinensis, Procyon lotor, Vulpes vulpes, Odocoileus virginianus, Felis catus, Sylvilagus floridanus, Mephitis mephitis, Didelphis virginiana, Marmota monax, Canis latrans, Canis familiaris, Glaucomys volans",39.73539262196192,-75.61988947288141,50,Wilmington - Delaware,forest,14
2,2023,"Odocoileus virginianus, Procyon lotor, Sciurus carolinensis, Vulpes vulpes, Marmota monax, Didelphis virginiana, Sylvilagus floridanus, Felis catus",39.73539262196192,-75.61988947288141,50,Wilmington - Delaware,forest,8
3,2019,"Odocoileus virginianus, Procyon lotor, Canis latrans, Sciurus niger, Sylvilagus floridanus, Didelphis virginiana, Mephitis mephitis, Lynx rufus, Canis familiaris",40.7561795194991,-96.76898048484848,50,Lincoln - Nebraska,grassland,9
3,2021,"Lynx rufus, Canis latrans, Procyon lotor, Didelphis virginiana, Odocoileus virginianus, Canis familiaris",40.7561795194991,-96.76898048484848,50,Lincoln - Nebraska,grassland,6
