Sci_Name,Year,Class,Order,Family,Genus,Species,Common_Name,Cluster_List
Alces alces,2019,mammalia,cetartiodactyla,cervidae,alces,alces,moose,"13,29,47,53,54,55,88,91,103,206"
Alces alces,2020,mammalia,cetartiodactyla,cervidae,alces,alces,moose,"19,47,53,55,111"
Alces alces,2021,mammalia,cetartiodactyla,cervidae,alces,alces,moose,"19,29,47,51,53,55,111,147"
Alces alces,2022,mammalia,cetartiodactyla,cervidae,alces,alces,moose,"13,19,47,51,53,55,59,80,111,137,147"
Alces alces,2023,mammalia,cetartiodactyla,cervidae,alces,alces,moose,"13,19,47,51,53,55,111,147"
Ammospermophilus harrisii,2019,mammalia,rodentia,sciuridae,ammospermophilus,harrisii,harris's antelope squirrel,101
Ammospermophilus harrisii,2020,mammalia,rodentia,sciuridae,ammospermophilus,harrisii,harris's antelope squirrel,101
Ammospermophilus harrisii,2022,mammalia,rodentia,sciuridae,ammospermophilus,harrisii,harris's antelope squirrel,31
Ammospermophilus harrisii,2023,mammalia,rodentia,sciuridae,ammospermophilus,harrisii,harris's antelope squirrel,"31,112,200"
Ammospermophilus leucurus,2019,mammalia,rodentia,sciuridae,ammospermophilus,leucurus,white-tailed antelope squirrel,"43,151"
Ammospermophilus leucurus,2020,mammalia,rodentia,sciuridae,ammospermophilus,leucurus,white-tailed antelope squirrel,"37,43"
Ammospermophilus leucurus,2022,mammalia,rodentia,sciuridae,ammospermophilus,leucurus,white-tailed antelope squirrel,"37,43,129"
Ammospermophilus leucurus,2023,mammalia,rodentia,sciuridae,ammospermophilus,leucurus,white-tailed antelope squirrel,43
Antilocapra americana,2019,mammalia,cetartiodactyla,antilocapridae,antilocapra,americana,pronghorn,"90,103,120,208"
Antilocapra americana,2020,mammalia,cetartiodactyla,antilocapridae,antilocapra,americana,pronghorn,"79,90,111,208"
Antilocapra americana,2021,mammalia,cetartiodactyla,antilocapridae,antilocapra,americana,pronghorn,"79,90,111,208"
Antilocapra americana,2022,mammalia,cetartiodactyla,antilocapridae,antilocapra,americana,pronghorn,"69,79,80,90,111,134,149,197,205,208"
Antilocapra americana,2023,mammalia,cetartiodactyla,antilocapridae,antilocapra,americana,pronghorn,"69,79,90,111,208"
Aplodontia rufa,2019,mammalia,rodentia,aplodontiidae,aplodontia,rufa,mountain beaver,164
Aplodontia rufa,2020,mammalia,rodentia,aplodontiidae,aplodontia,rufa,mountain beaver,"45,164"
Aplodontia rufa,2021,mammalia,rodentia,aplodontiidae,aplodontia,rufa,mountain beaver,164
Aplodontia rufa,2022,mammalia,rodentia,aplodontiidae,aplodontia,rufa,mountain beaver,"48,164"
Aplodontia rufa,2023,mammalia,rodentia,aplodontiidae,aplodontia,rufa,mountain beaver,"48,164"
Bassariscus astutus,2019,mammalia,carnivora,procyonidae,bassariscus,astutus,ringtail,"43,117,183"
Bassariscus astutus,2020,mammalia,carnivora,procyonidae,bassariscus,astutus,ringtail,63
Bassariscus astutus,2021,mammalia,carnivora,procyonidae,bassariscus,astutus,ringtail,183
Bassariscus astutus,2022,mammalia,carnivora,procyonidae,bassariscus,astutus,ringtail,"67,183"
Bassariscus astutus,2023,mammalia,carnivora,procyonidae,bassariscus,astutus,ringtail,"67,112,204"
Bison bison,2019,mammalia,cetartiodactyla,bovidae,bison,bison,american bison,"103,208"
Bison bison,2020,mammalia,cetartiodactyla,bovidae,bison,bison,american bison,208
Bison bison,2021,mammalia,cetartiodactyla,bovidae,bison,bison,american bison,"52,208"
Bison bison,2022,mammalia,cetartiodactyla,bovidae,bison,bison,american bison,"52,69,149,208"
Bison bison,2023,mammalia,cetartiodactyla,bovidae,bison,bison,american bison,"52,69,208"
Blarina brevicauda,2021,mammalia,eulipotyphla,soricidae,blarina,brevicauda,northern short-tailed shrew,17
Blarina brevicauda,2022,mammalia,eulipotyphla,soricidae,blarina,brevicauda,northern short-tailed shrew,59
Bos taurus,2019,mammalia,cetartiodactyla,bovidae,bos,taurus,domestic cattle,"4,11,13,14,39,44,53,67,103,117,118,120,188,203,208"
Bos taurus,2020,mammalia,cetartiodactyla,bovidae,bos,taurus,domestic cattle,"14,39,53,63,67,79,93,111,118,188,195,203"
Bos taurus,2021,mammalia,cetartiodactyla,bovidae,bos,taurus,domestic cattle,"39,44,52,53,67,90,111,118,125,136,141,148,172,195"
Bos taurus,2022,mammalia,cetartiodactyla,bovidae,bos,taurus,domestic cattle,"13,35,39,52,53,67,69,89,90,112,118,133,134,140,148,149,172,205"
Bos taurus,2023,mammalia,cetartiodactyla,bovidae,bos,taurus,domestic cattle,"13,23,35,39,53,64,67,69,79,89,90,111,112,125,140,148,150,158,161,171,172,175,185,195,200,204"
Boselaphus tragocamelus,2022,mammalia,cetartiodactyla,bovidae,boselaphus,tragocamelus,nilgai,41
Brachylagus idahoensis,2019,mammalia,lagomorpha,leporidae,brachylagus,idahoensis,pygmy rabbit,90
Callospermophilus lateralis,2020,mammalia,rodentia,sciuridae,callospermophilus,lateralis,golden mantled ground squirrel,209
Callospermophilus lateralis,2022,mammalia,rodentia,sciuridae,callospermophilus,lateralis,golden mantled ground squirrel,142
Callospermophilus lateralis,2023,mammalia,rodentia,sciuridae,callospermophilus,lateralis,golden mantled ground squirrel,132
Canis familiaris,2019,mammalia,carnivora,canidae,canis,familiaris,domestic dog,"2,3,4,5,7,10,11,12,14,18,19,20,26,27,30,33,42,47,48,50,53,54,55,56,60,61,62,70,81,86,88,91,96,98,99,104,113,118,124,130,135,137,146,153,154,160,162,164,165,176,180,181,183,190,191,209"
Canis familiaris,2020,mammalia,carnivora,canidae,canis,familiaris,domestic dog,"1,2,5,8,14,16,18,19,20,26,30,33,37,39,43,47,48,53,55,57,60,63,65,74,79,85,86,90,93,98,99,111,114,116,118,119,123,124,133,135,137,138,143,146,153,168,172,176,180,184,185,187,190,203,209"
Canis familiaris,2021,mammalia,carnivora,canidae,canis,familiaris,domestic dog,"1,2,3,5,6,8,14,15,16,17,18,19,20,27,30,37,39,40,41,44,47,50,53,55,57,59,60,76,77,83,85,86,92,97,99,111,118,123,124,125,135,137,138,147,153,157,161,163,164,172,176,180,183,184,185,190,195,208,209"
Canis familiaris,2022,mammalia,carnivora,canidae,canis,familiaris,domestic dog,"0,1,5,8,9,10,12,13,16,17,18,19,22,23,26,27,30,31,34,35,37,38,39,40,41,43,47,48,49,51,53,55,57,59,60,67,69,74,76,77,79,80,82,84,85,86,89,97,98,99,106,111,113,116,118,123,124,129,133,134,135,137,138,141,142,145,148,152,153,161,166,172,176,179,180,183,184,187,190,191,197,205,208,209"
Canis familiaris,2023,mammalia,carnivora,canidae,canis,familiaris,domestic dog,"0,1,3,5,9,10,12,14,15,16,19,22,23,24,26,27,30,31,33,34,35,36,37,39,43,47,48,50,51,53,55,56,57,59,60,67,69,72,77,82,85,86,94,99,108,111,114,115,116,118,121,123,127,128,131,132,133,135,137,138,139,141,145,147,148,152,153,158,161,165,166,169,170,172,173,175,176,177,178,179,180,183,185,191,195,199,200,201,209,210"
Canis latrans,2019,mammalia,carnivora,canidae,canis,latrans,coyote,"2,3,4,5,6,7,10,11,12,13,14,16,17,18,19,20,23,26,27,28,29,30,33,39,43,44,47,48,50,53,54,55,56,57,60,61,62,66,67,68,70,71,72,78,81,85,86,88,90,91,92,96,98,99,101,103,104,109,113,116,117,118,120,124,130,133,135,137,139,146,151,153,154,157,160,162,165,174,176,180,181,183,184,188,190,192,193,195,203,206,208,209"
Canis latrans,2020,mammalia,carnivora,canidae,canis,latrans,coyote,"1,2,5,6,8,9,10,12,14,16,17,18,19,20,23,26,27,33,34,37,39,41,43,47,48,53,55,57,60,63,65,67,72,73,74,76,79,85,86,90,92,93,95,98,99,101,110,111,114,116,118,119,123,124,133,135,137,138,139,141,143,146,153,154,157,163,165,168,172,176,180,183,184,185,187,188,190,195,203,208,209"
Canis latrans,2021,mammalia,carnivora,canidae,canis,latrans,coyote,"1,2,3,5,6,8,9,10,12,14,15,16,17,18,19,20,23,26,27,29,30,37,39,40,41,44,47,50,51,52,53,55,57,59,60,67,72,73,76,79,82,83,85,86,90,92,94,97,99,111,115,116,118,122,123,124,125,133,135,136,137,138,139,140,141,147,148,153,154,155,161,163,165,172,176,180,183,184,186,190,192,195,198,208,209"
